id,title,text,comment_id,grade,is_new,is_quailfied,feedback_type,is_finance,subcategory_type,created_at,updated_at
417,Банк арестовывает сумму свыше постановления,"Добрый день! 26 ноября на меня был наложен арест на сумму 10400 рублей. 28 числа банк арестовывает у меня 5000 рублей. Сегодня поступает зарплата. С расчетного счета с меня списывают 5400 рублей. Я перевожу часть средств на карту и с меня повторно банк списывает 5400. Позвонил в контакт центр. Оператор отправляет к приставам. Хотя банк удерживает сумму превышающую сумму ареста. Попытался разобраться с ситуацией, оператор банально бросил трубку. Если честно я в шоке. Только месяц назад перешел в этот банк. Желание оставаться нет. Куда обращаться, в центробанк, в прокуратуру? ",11971990,1,f,t,1,t,3,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
416,Не могу открыть вклад народный плюс ,"Повёлся на рекламу вклада от ПСБ ""Народный Плюс'. Специально для этого заказал дебетовую карту, потратил час времени в отделении, чтобы её получить, но... в личном кабинете такого вклада не обнаружил. В онлайн чате поддержки сказали, что вклад временно не доступен.  Зря потраченное время и чувство, что тебя обманули ради привлечения ещё одного клиента. ",11972766,3,t,f,,,,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
16,ПСБ не зачислил 79500 рублей,"Я  пришел в отделение банка по адресу пл.Победы дом 2 для внесения торговый выручки в сумме 500000 (пятьсот тысяч)  рублей на расчетный счет через банкомат № 00406337 	Вся выручка была представлена купюрами номиналом 5000 рублей	Приложив корпоративную карту к банкомату, и, набрав пин код, я выбрал операцию «зачисление торговой выручки», открылся купюроприёмник, я достал запечатанную пачку, ранее пересчитанных мною купюр, снял упаковочную резинку и положил деньги в приёмник купюр.	Крышка приёмника закрылась, начался пересчет денег, но почти сразу  послышался нехарактерный для пересчёта звук и пересчет прекратился. Через несколько секунд звук пересчёта возобновился, но, тут же, прекратился и, на экране, отобразилось сообщение «операция не возможна». 	Далее я пытался прикладывать карты разных банков с целью возобновить работу банкомата, на всё было тщетно. 	Стал звонить на горячею линию, но так как время дозвона до оператора составляло 45 минут, я принял решение взять электронный талончик в очередь к операционисту по обслуживанию физических лиц (была суббота и юридические лица не обслуживались). В то время, пока я ожидал свою очередь, мне удалось пообщаться со старшим кассиром, которая направила меня дожидаться электронной очереди, согласно талончику. Подошел к старшему менеджеру по обслуживанию физических лиц и получил ту же рекомендацию – дожидаться электронной очереди.Наконец, мне ответил оператор техподдержки горячей линии и было составлено заявление о несогласии с операцией №745004.В понедельник 02.12.24 в 14:00 я вернулся к банкомату № 00406337 и со своей личной карты физического лица снял 100 рублей и получил их через купюроприемник – из чего следует, что банкомат починили. Я подошел к операционисту по обслуживанию юридических лиц и объяснил всю ситуацию, но она по какой то причине не нашла ранее оставленное заявление о несогласии с операцией №745004, в виду чего было составлено новое заявление о несогласии с операцией №745801. От операциониста получил информацию о том, что инкассация пройдет 04.12.24г. 04.12.24г на моих глазах инкассаторы действительно инкассировали данный банкомат.06.12.24г. на расчетный счет фирмы была зачислена сумма 420500 (четыреста двадцать тысяч пятьсот)  рублей, которая не соответствовала сумме, которую я положил в купюроприёмник.Чем всё закончится напишу ниже в коментариях под этим постом.",11980354,1,f,t,1,t,3,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
418,Выпуск карты,"Обратилась в офис  в г. Зеленодольске за выпуском карты . Очень понравилось обслуживание! Несмотря на то , что была очередь , сотрудники разместили меня в зоне ожидания и дали рекламный буклет для  знакомства с тарифами по картам . Когда подошла моя очередь , сотрудник подробно проконсультировала меня , подобрала для меня оптимальный тариф и выпустила карту , заранее предупредив о том , что смс платные ,подключаются автоматически и если они мне не нужны , нужно отключить самостоятельно .Понравилось  , что есть электронное подписание документов ,экономия времени и бумаги !Далее помогла мне с установкой приложения. Очень приятная атмосфера в офисе , чистота , стоит кулер , удобные диваны ! Я осталась довольна , буду рекомендовать банк знакомым !",11971829,5,f,t,2,f,0,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
1041,Доставка карты,"На сайте банка заказала дебетовую карту на 07.10.2024 ,позвонил представитель банка и перенёс встречу на 09.10.2024. Сегодня никто со мной не связался карту соответственно не привезлиОтношение к клиенту просто отвратительное. Видимо банку не нужны клиенты если они так поступают.Прошу разобраться в ситуации и доставить мне карту",11779788,1,f,t,1,f,3,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
419,Банк не выплачивает обещанный кэшбэк по акции,"1 октября 2024 года в Промсвязьбанке мною была оформлена дебетовая карта Твой кешбек в рамках акции ""Суперкешбэк от ПСБ / 25% на супермаркеты"". По данной карте мною были выполнены условия для начисления повышенного кэшбэка: траты в месяц превышали необходимую для начиления кэшбэка сумму согласно условиям Программы лояльности банка, при этом достаточно большую часть составляли траты на супермаркеты. Однако 15 ноября - отчётную дату по кэшбэку согласно акции (п.3.2) никаких баллов, которые бы соответствовали 25% трат на супермаркеты, мне выплачено не было. Я неоднократно обращалась в контактный центр Промсвязьбанка во данному вопросу. Внятного ответа о причине неначисления повышенного кешбека получено не было, оператор твердил, что ""условия по программе не выполнены"", но пояснить, что именно было не выполнено - затруднялся. В третий раз связавшись с контаткным центром  29.11.2024 по моему обращению было составлено заявление на уточнение начисления кешбека. На данный момент ответ по моему обращению получен не был и мой опрос остается нерешеннным, несмотря на то, что сроки рассмотрения обращения вышли.Таким образом, банк в одностороннем порядке нарушает условия акции ""Суперкешбэк от ПСБ / 25% на супермаркеты"" (которая, кстати, была продлена) - при этом даже не удосуживается как-то это пояснять.",11971719,1,f,t,1,t,2,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
10,Благодарю за полученную информацию,"Моя подруга рассказала, что в банке действует специальная акция по получению бонусных баллов за открытие вклада. За подробностями акции обратилась в чат 20 ноября в 15:41. Я спросила о том, сколько баллов я могу получить и какой вклад нужно открыть для их начисления. Оператор Екатерина написала, что для  участия в акции ""Проведи новый год с ПСБ"" нужно открыть вклад ""Мой подарок"" от 100 000 рублей со ставкой 22% и можно при этом получить до 3000 рублей. Также она предоставила мне ссылку, по которой я смогу подробнее ознакомиться с условиями акции. Я задала вопрос - в случае открытия вклада от 100 000 рублей - мне начислят 3000 баллов и на какие сроки вклад открывается. Оказалось, что 3000 баллов я могу получить только при открытии вклада от 1,5 млн. рублей, а если открою вклад от 100 000 до 500 000 рублей, то мне начислят 500 баллов. Срок вклада составляет 122 дня. Я спросила о сроках акции и её условиях. Оператор сообщила, что акция действует до 15 декабря включительно и подробно описала условия акции, согласно которой нужно заключить договор вклада ""Мой подарок"" в течение периода проведения акции, не расторгать его до даты выплаты вознаграждения, а также быть держателем действующей карты на дату выплаты вознаграждения. О сроках выплаты баллов за вклад и способах его открытия я поинтересовалась у Екатерины. Она сообщила, что для открытия вклада в приложении нужно нажать ""Открыть новый продукт"" - ""Вклад"" - ""Открыть"". Я спросила, что если сначала открою один такой вклад на 100 000 рублей, а позднее открою ещё один такой вклад на эту же сумму, то мне начислят 500+500=1000 баллов. Но оператор написала, что баллы можно получить только по одному вкладу, уточнив, что если у участника акции будет несколько вкладов - баллы начислятся по вкладу с максимальной суммой. Я выражаю благодарность Екатерине за подробное описание акции по открытию вклада на выгодных условиях с получением за это бонусных баллов.",11985446,5,f,t,2,t,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
20,Под предлогом борьбы с мошенниками просто отказ в обслуживании по факту,"При попытке перевода денег ВНУТРИ БАНКА - ЖЕНЕ на той же фамилии операция заблокирована, типа во избежание мошенничества, позвоните в банк. Ну ок, время сложное, понимаю. Правда нормальные банки звонят в этом случае сами.Ну ок, дозвонился за 10 минут (мое время тоже денег стоит). Ща переключу на нужного специалиста - и опять музыка, уже полчаса. Ребята, если вы все из себя такие борцы с мошенничеством - отрабатывайте инциденты, а не морозьте деньги клиентов.По итогу деньги просто заморожены на счете без %%, а %% с этой суммы- это тоже деньги. Плюс мне придется тратить время помимо звонков еще и на поездку в офис, видимо уже  чтобы все закрыть. Мое время тоже стоит денег. ",11979892,1,f,t,3,t,2,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
420,"Ужасный банк! Чтобы забрать свои собственные деньги, им еще надо заплатить!","01.11.2024 открыла накопительный счет ""Про запас"" как новый клиент по 22% процента годовых.В этот же день несколькими переводами с двух банков превела себе же по СБП немаленькую для меня сумму и пополнила накопительный счет ""Про запас"". На следующий день (02.11.2024) мне приходит смс с сообщением, что мои счета в данном банке заблокированы по подозрению в отмывании средств! И в течении нескольких дней я должна доказать происхождение моих же денег. При этом была даже заблокирована возможность написать в чат поддержки в приложении. Как выяснилось после многочасового дозвона и ожидания на горячей линии, документы (даже до конца не понятно какие) надо привозить лично в офис. До которого мне добираться через пол города. При этом мне еще надо собрать эти документы, что также надо делать на бумаге (в электронном виде их не устраивает). А это еще день поездок по городу.Про нервы и обиду от ложных подозрений я даже говорить не буду, это полнейшее безобразие! Итак, 08.11.2024, собрав все, что только возможно, приезжаю в офис (1-я Тверская-Ямская улица, 24). В разговоре с менеджером, было озвучено, что апелляцию конечно подать я могу, но заявление мое начнут рассматривать только через неделю, рассмотрение вообще может тянуться неизвестно сколько, и вообще оправдаться будет очень непросто! Был предложен вариант переводом по реквизитам просто вывести свои средства в другой банк с комиссией 3% от суммы. При таких туманных перспетивах на торжество справедливости я согласилась на перевод и написала заявление на закрытие всех счетов и вывод средств. Менеждер сказала подождать 15 минут и платеж одобрят. Ждала я в итоге 4 (четыре!) часа. И мне было объявлено: приезжайте через неделю. Тогда должны одобрить (почему не сразу?).Вынуждена была приехать еще раз 14.11.2024 в этот же офис, и после общения со старшим менеджером и написания заявления №801 мой перевод изволили одобрить.16.11.2024 деньги пришли в указанный мной банк.Итог: процентов за 15 дней, пока мои честно заработанные и накопленные деньги были заблокированы банком по абсурдному подозрению, я не получила. Также с меня удержали омиссию 3% от суммы моего перевода. Сумма денежных потерь для меня очень существенная! Ужасный банк, если хотите проблем и денежных потерь, то вам сюда.",11970931,1,f,t,1,t,3,2024-12-20 22:23:27.768951+00,2024-12-20 22:23:27.768951+00
8,Быстро помогли ,"Планирую открыть вклад ""Ставка на будущее"",в описании вклада написано,что обязательное условие открытие ПДС для ставки 29%. Я,согласна перевести пенсионные накопления в банк,но не поняла по сумме ,на которую я могу открыть вклад и обратилась в официальную группу соцсети. Буквально сразу, мне ответил специалист в 19:27( 11 декабря 2024),который пояснил, что минимальная сумма 30 т р,а максимальная сумма,не выше суммы первого взноса в ПДС. Так же,специалист скинул ссылку с подобной информацией по вкладу. Выражаю благодарность специалисту за оперативную помощь в решении моего вопроса. ",11991640,5,f,t,2,t,0,2024-12-20 21:50:30.3339+00,2024-12-20 21:50:30.3339+00
